Recorded Date,Borough,Method of Killing,sum of method of killing,Month,Year
Jan-07,Hackney,Blunt Implement,2,Jan,2007
Jan-07,Hackney,Knife or Sharp Implement,1,Jan,2007
Jan-07,Haringey,Knife or Sharp Implement,1,Jan,2007
Jan-07,Haringey,Other Methods Of Killing,1,Jan,2007
Jan-07,Hounslow,Shooting,1,Jan,2007
Jan-07,Lambeth,Other Methods Of Killing,1,Jan,2007
Jan-07,Newham,Other Methods Of Killing,1,Jan,2007
Jan-07,Newham,"Physical Assault, no weapon",2,Jan,2007
Jan-07,Wandsworth,Knife or Sharp Implement,1,Jan,2007
Jan-07,Westminster,Knife or Sharp Implement,1,Jan,2007
Jan-08,Barnet,Knife or Sharp Implement,1,Jan,2008
Jan-08,Bexley,Knife or Sharp Implement,1,Jan,2008
Jan-08,Brent,Shooting,1,Jan,2008
Jan-08,Ealing,Blunt Implement,1,Jan,2008
Jan-08,Enfield,Knife or Sharp Implement,2,Jan,2008
Jan-08,Islington,Knife or Sharp Implement,1,Jan,2008
Jan-08,Lambeth,Knife or Sharp Implement,2,Jan,2008
Jan-08,Merton,Knife or Sharp Implement,1,Jan,2008
Jan-08,Wandsworth,Other Methods Of Killing,1,Jan,2008
Jan-09,Brent,Knife or Sharp Implement,1,Jan,2009
Jan-09,Croydon,Knife or Sharp Implement,1,Jan,2009
Jan-09,Enfield,Knife or Sharp Implement,1,Jan,2009
Jan-09,Hackney,Knife or Sharp Implement,1,Jan,2009
Jan-09,Hackney,Other Methods Of Killing,1,Jan,2009
Jan-09,Harrow,Other Methods Of Killing,1,Jan,2009
Jan-09,Hounslow,Other Methods Of Killing,1,Jan,2009
Jan-09,Lambeth,Blunt Implement,1,Jan,2009
Jan-09,Lambeth,Knife or Sharp Implement,1,Jan,2009
Jan-09,Newham,Blunt Implement,1,Jan,2009
Jan-09,Newham,Knife or Sharp Implement,1,Jan,2009
Jan-09,Tower Hamlets,Blunt Implement,1,Jan,2009
Jan-10,Barking & Dagenham,Knife or Sharp Implement,1,Jan,2010
Jan-10,Barnet,"Physical Assault, no weapon",1,Jan,2010
Jan-10,Croydon,Shooting,1,Jan,2010
Jan-10,Ealing,"Physical Assault, no weapon",1,Jan,2010
Jan-10,Hillingdon,"Physical Assault, no weapon",1,Jan,2010
Jan-10,Newham,Shooting,1,Jan,2010
Jan-10,Tower Hamlets,Knife or Sharp Implement,1,Jan,2010
Jan-11,Bexley,Not known/Not Recorded ,1,Jan,2011
Jan-11,Ealing,Knife or Sharp Implement,1,Jan,2011
Jan-11,Enfield,Knife or Sharp Implement,1,Jan,2011
Jan-11,Greenwich,Blunt Implement,1,Jan,2011
Jan-11,Hackney,Knife or Sharp Implement,1,Jan,2011
Jan-11,Haringey,Knife or Sharp Implement,2,Jan,2011
Jan-11,Havering,Other Methods Of Killing,1,Jan,2011
Jan-11,Newham,Blunt Implement,1,Jan,2011
Jan-11,Southwark,Knife or Sharp Implement,1,Jan,2011
Jan-11,Waltham Forest,Blunt Implement,1,Jan,2011
Jan-11,Waltham Forest,Not known/Not Recorded ,1,Jan,2011
Jan-11,Waltham Forest,Other Methods Of Killing,1,Jan,2011
Jan-12,Camden,Shooting,1,Jan,2012
Jan-12,Ealing,Other Methods Of Killing,1,Jan,2012
Jan-12,Hackney,Knife or Sharp Implement,1,Jan,2012
Jan-12,Hounslow,Other Methods Of Killing,1,Jan,2012
Jan-13,Barnet,Knife or Sharp Implement,1,Jan,2013
Jan-13,Croydon,"Physical Assault, no weapon",1,Jan,2013
Jan-13,Enfield,Blunt Implement,1,Jan,2013
Jan-13,Greenwich,Knife or Sharp Implement,1,Jan,2013
Jan-13,Hackney,"Physical Assault, no weapon",1,Jan,2013
Jan-13,Havering,Knife or Sharp Implement,1,Jan,2013
Jan-13,Lambeth,Blunt Implement,1,Jan,2013
Jan-13,Lambeth,Not known/Not Recorded ,1,Jan,2013
Jan-13,Westminster,Knife or Sharp Implement,1,Jan,2013
Jan-14,Brent,"Physical Assault, no weapon",2,Jan,2014
Jan-14,Kensington & Chelsea,Blunt Implement,1,Jan,2014
Jan-14,Newham,Knife or Sharp Implement,1,Jan,2014
Jan-15,Brent,"Physical Assault, no weapon",1,Jan,2015
Jan-15,Ealing,Knife or Sharp Implement,1,Jan,2015
Jan-15,Enfield,Knife or Sharp Implement,1,Jan,2015
Jan-15,Hackney,Knife or Sharp Implement,1,Jan,2015
Jan-15,Hammersmith & Fulham,Not known/Not Recorded ,1,Jan,2015
Jan-15,Haringey,Knife or Sharp Implement,1,Jan,2015
Jan-15,Haringey,Other Methods Of Killing,1,Jan,2015
Jan-15,Harrow,Knife or Sharp Implement,1,Jan,2015
Jan-15,Hillingdon,Knife or Sharp Implement,1,Jan,2015
Jan-15,Islington,Blunt Implement,2,Jan,2015
Jan-15,Lambeth,"Physical Assault, no weapon",1,Jan,2015
Jan-15,Tower Hamlets,"Physical Assault, no weapon",1,Jan,2015
Jan-15,Westminster,Knife or Sharp Implement,1,Jan,2015
Jan-16,Bexley,Knife or Sharp Implement,3,Jan,2016
Jan-16,Croydon,Knife or Sharp Implement,1,Jan,2016
Jan-16,Havering,Knife or Sharp Implement,1,Jan,2016
Jan-16,Hillingdon,Knife or Sharp Implement,1,Jan,2016
Jan-16,Merton,Knife or Sharp Implement,1,Jan,2016
Jan-16,Newham,Knife or Sharp Implement,1,Jan,2016
Jan-16,Newham,"Physical Assault, no weapon",1,Jan,2016
Jan-16,Redbridge,Knife or Sharp Implement,1,Jan,2016
Jan-17,Brent,Knife or Sharp Implement,1,Jan,2017
Jan-17,Croydon,Blunt Implement,1,Jan,2017
Jan-17,Ealing,Knife or Sharp Implement,1,Jan,2017
Jan-17,Greenwich,Other Methods Of Killing,2,Jan,2017
Jan-17,Wandsworth,Knife or Sharp Implement,1,Jan,2017
Jan-18,Barnet,"Physical Assault, no weapon",1,Jan,2018
Jan-18,Brent,Not known/Not Recorded ,1,Jan,2018
Jan-18,Hackney,Knife or Sharp Implement,2,Jan,2018
Jan-18,Hammersmith & Fulham,Knife or Sharp Implement,2,Jan,2018
Jan-18,Haringey,Knife or Sharp Implement,1,Jan,2018
Jan-18,Islington,Knife or Sharp Implement,1,Jan,2018
Jan-18,Lambeth,Knife or Sharp Implement,1,Jan,2018
Jan-18,Redbridge,Blunt Implement,1,Jan,2018
Jan-18,Redbridge,Knife or Sharp Implement,1,Jan,2018
Jan-19,Ealing,Knife or Sharp Implement,2,Jan,2019
Jan-19,Havering,"Physical Assault, no weapon",1,Jan,2019
Jan-19,Islington,Knife or Sharp Implement,1,Jan,2019
Jan-19,Tower Hamlets,Knife or Sharp Implement,1,Jan,2019
Jan-19,Tower Hamlets,"Physical Assault, no weapon",1,Jan,2019
Jan-19,Waltham Forest,Knife or Sharp Implement,1,Jan,2019
Jan-19,Westminster,Knife or Sharp Implement,1,Jan,2019
Jan-20,Barnet,Other Methods Of Killing,1,Jan,2020
Jan-20,Croydon,Knife or Sharp Implement,1,Jan,2020
Jan-20,Ealing,Blunt Implement,1,Jan,2020
Jan-20,Ealing,Other Methods Of Killing,1,Jan,2020
Jan-20,Hackney,Knife or Sharp Implement,1,Jan,2020
Jan-20,Islington,Knife or Sharp Implement,1,Jan,2020
Jan-20,Redbridge,Knife or Sharp Implement,3,Jan,2020
Jan-20,Richmond Upon Thames,Knife or Sharp Implement,1,Jan,2020
Jan-20,Westminster,Shooting,1,Jan,2020
Jan-21,Brent,Knife or Sharp Implement,1,Jan,2021
Jan-21,Ealing,Knife or Sharp Implement,3,Jan,2021
Jan-21,Haringey,Knife or Sharp Implement,1,Jan,2021
Jan-21,Islington,Knife or Sharp Implement,1,Jan,2021
Jan-21,Lewisham,Knife or Sharp Implement,1,Jan,2021
Jan-21,Redbridge,Knife or Sharp Implement,2,Jan,2021
Jan-22,Enfield,Blunt Implement,1,Jan,2022
Jan-22,Greenwich,Other Methods Of Killing,1,Jan,2022
Jan-22,Hillingdon,Knife or Sharp Implement,1,Jan,2022
Jan-22,Lambeth,Knife or Sharp Implement,1,Jan,2022
Jan-22,Westminster,Knife or Sharp Implement,1,Jan,2022
Jul-03,Barking & Dagenham,Blunt Implement,1,Jul,2003
Jul-03,Barking & Dagenham,Other Methods Of Killing,1,Jul,2003
Jul-03,Barnet,Not known/Not Recorded ,1,Jul,2003
Jul-03,Croydon,Knife or Sharp Implement,1,Jul,2003
Jul-03,Croydon,Other Methods Of Killing,1,Jul,2003
Jul-03,Ealing,Knife or Sharp Implement,1,Jul,2003
Jul-03,Greenwich,Not known/Not Recorded ,1,Jul,2003
Jul-03,Hackney,Other Methods Of Killing,3,Jul,2003
Jul-03,Haringey,Not known/Not Recorded ,1,Jul,2003
Jul-03,Hillingdon,Other Methods Of Killing,1,Jul,2003
Jul-03,Hounslow,Blunt Implement,4,Jul,2003
Jul-03,Newham,Knife or Sharp Implement,2,Jul,2003
Jul-03,Newham,"Physical Assault, no weapon",1,Jul,2003
Jul-03,Redbridge,Knife or Sharp Implement,2,Jul,2003
Jul-03,Southwark,Knife or Sharp Implement,2,Jul,2003
Jul-03,Southwark,Other Methods Of Killing,1,Jul,2003
Jul-03,Tower Hamlets,Other Methods Of Killing,1,Jul,2003
Jul-03,Tower Hamlets,"Physical Assault, no weapon",1,Jul,2003
Jul-03,Waltham Forest,Shooting,1,Jul,2003
Jul-03,Westminster,Other Methods Of Killing,1,Jul,2003
Jul-04,Barking & Dagenham,Other Methods Of Killing,1,Jul,2004
Jul-04,Barking & Dagenham,Shooting,1,Jul,2004
Jul-04,Bexley,Knife or Sharp Implement,1,Jul,2004
Jul-04,Ealing,Knife or Sharp Implement,1,Jul,2004
Jul-04,Enfield,Other Methods Of Killing,1,Jul,2004
Jul-04,Greenwich,Knife or Sharp Implement,3,Jul,2004
Jul-04,Hackney,Knife or Sharp Implement,1,Jul,2004
Jul-04,Kensington & Chelsea,Knife or Sharp Implement,1,Jul,2004
Jul-04,Kensington & Chelsea,Not known/Not Recorded ,1,Jul,2004
Jul-04,Lewisham,Knife or Sharp Implement,1,Jul,2004
Jul-04,Newham,Shooting,1,Jul,2004
Jul-04,Southwark,Shooting,1,Jul,2004
Jul-05,Barking & Dagenham,Shooting,1,Jul,2005
Jul-05,Barnet,Knife or Sharp Implement,1,Jul,2005
Jul-05,Brent,Shooting,1,Jul,2005
Jul-05,Camden,Blunt Implement,1,Jul,2005
Jul-05,Camden,Other Methods Of Killing,13,Jul,2005
Jul-05,Ealing,Knife or Sharp Implement,4,Jul,2005
Jul-05,Ealing,Other Methods Of Killing,1,Jul,2005
Jul-05,Enfield,Knife or Sharp Implement,1,Jul,2005
Jul-05,Havering,Knife or Sharp Implement,1,Jul,2005
Jul-05,Hounslow,Other Methods Of Killing,1,Jul,2005
Jul-05,Islington,Knife or Sharp Implement,1,Jul,2005
Jul-05,Lambeth,Other Methods Of Killing,1,Jul,2005
Jul-05,Lewisham,Other Methods Of Killing,1,Jul,2005
Jul-05,Lewisham,Shooting,1,Jul,2005
Jul-05,Newham,Knife or Sharp Implement,1,Jul,2005
Jul-06,Barnet,Other Methods Of Killing,1,Jul,2006
Jul-06,Bexley,Knife or Sharp Implement,1,Jul,2006
Jul-06,Brent,Shooting,1,Jul,2006
Jul-06,Camden,Other Methods Of Killing,1,Jul,2006
Jul-06,Croydon,"Physical Assault, no weapon",1,Jul,2006
Jul-06,Ealing,Other Methods Of Killing,1,Jul,2006
Jul-06,Enfield,Other Methods Of Killing,1,Jul,2006
Jul-06,Haringey,Knife or Sharp Implement,2,Jul,2006
Jul-06,Havering,Knife or Sharp Implement,1,Jul,2006
Jul-06,Lewisham,Not known/Not Recorded ,1,Jul,2006
Jul-06,Merton,Knife or Sharp Implement,1,Jul,2006
Jul-06,Richmond Upon Thames,Knife or Sharp Implement,1,Jul,2006
Jul-06,Southwark,Shooting,1,Jul,2006
Jul-06,Waltham Forest,Knife or Sharp Implement,1,Jul,2006
Jul-06,Wandsworth,Not known/Not Recorded ,1,Jul,2006
Jul-07,Barking & Dagenham,Knife or Sharp Implement,1,Jul,2007
Jul-07,Ealing,Blunt Implement,1,Jul,2007
Jul-07,Enfield,Knife or Sharp Implement,1,Jul,2007
Jul-07,Enfield,"Physical Assault, no weapon",1,Jul,2007
Jul-07,Enfield,Shooting,1,Jul,2007
Jul-07,Greenwich,Shooting,1,Jul,2007
Jul-07,Hammersmith & Fulham,Shooting,1,Jul,2007
Jul-07,Hillingdon,Knife or Sharp Implement,1,Jul,2007
Jul-07,Lambeth,Blunt Implement,1,Jul,2007
Jul-07,Lambeth,Shooting,2,Jul,2007
Jul-08,Croydon,Knife or Sharp Implement,1,Jul,2008
Jul-08,Ealing,Blunt Implement,1,Jul,2008
Jul-08,Ealing,Knife or Sharp Implement,1,Jul,2008
Jul-08,Ealing,Shooting,1,Jul,2008
Jul-08,Enfield,Knife or Sharp Implement,1,Jul,2008
Jul-08,Hackney,Not known/Not Recorded ,1,Jul,2008
Jul-08,Haringey,Knife or Sharp Implement,1,Jul,2008
Jul-08,Islington,Knife or Sharp Implement,1,Jul,2008
Jul-08,Lambeth,Knife or Sharp Implement,2,Jul,2008
Jul-08,Newham,Blunt Implement,1,Jul,2008
Jul-08,Southwark,Knife or Sharp Implement,2,Jul,2008
Jul-08,Tower Hamlets,Knife or Sharp Implement,1,Jul,2008
Jul-08,Tower Hamlets,Not known/Not Recorded ,1,Jul,2008
Jul-08,Waltham Forest,Knife or Sharp Implement,2,Jul,2008
Jul-08,Westminster,Other Methods Of Killing,1,Jul,2008
Jul-09,Brent,Knife or Sharp Implement,1,Jul,2009
Jul-09,Bromley,Shooting,1,Jul,2009
Jul-09,Croydon,Knife or Sharp Implement,1,Jul,2009
Jul-09,Ealing,Knife or Sharp Implement,2,Jul,2009
Jul-09,Greenwich,Blunt Implement,1,Jul,2009
Jul-09,Islington,Knife or Sharp Implement,1,Jul,2009
Jul-09,Islington,Other Methods Of Killing,1,Jul,2009
Jul-09,Lewisham,Shooting,1,Jul,2009
Jul-09,Newham,Knife or Sharp Implement,1,Jul,2009
Jul-09,Westminster,Blunt Implement,1,Jul,2009
Jul-10,Barnet,Shooting,1,Jul,2010
Jul-10,Brent,Knife or Sharp Implement,1,Jul,2010
Jul-10,Ealing,Other Methods Of Killing,1,Jul,2010
Jul-10,Ealing,Shooting,1,Jul,2010
Jul-10,Enfield,Knife or Sharp Implement,1,Jul,2010
Jul-10,Hackney,Other Methods Of Killing,1,Jul,2010
Jul-10,Hounslow,Knife or Sharp Implement,1,Jul,2010
Jul-10,Islington,Other Methods Of Killing,1,Jul,2010
Jul-10,Lambeth,Knife or Sharp Implement,1,Jul,2010
Jul-10,Lewisham,Knife or Sharp Implement,1,Jul,2010
Jul-10,Newham,Knife or Sharp Implement,1,Jul,2010
Jul-10,Newham,Shooting,1,Jul,2010
Jul-11,Bexley,Knife or Sharp Implement,1,Jul,2011
Jul-11,Croydon,Blunt Implement,1,Jul,2011
Jul-11,Croydon,Shooting,1,Jul,2011
Jul-11,Ealing,Knife or Sharp Implement,1,Jul,2011
Jul-11,Ealing,"Physical Assault, no weapon",1,Jul,2011
Jul-11,Greenwich,Shooting,1,Jul,2011
Jul-11,Southwark,Knife or Sharp Implement,2,Jul,2011
Jul-11,Wandsworth,"Physical Assault, no weapon",1,Jul,2011
Jul-12,Ealing,Knife or Sharp Implement,1,Jul,2012
Jul-12,Ealing,Shooting,1,Jul,2012
Jul-12,Greenwich,Not known/Not Recorded ,1,Jul,2012
Jul-12,Islington,"Physical Assault, no weapon",1,Jul,2012
Jul-13,Barnet,Not known/Not Recorded ,1,Jul,2013
Jul-13,Ealing,Other Methods Of Killing,1,Jul,2013
Jul-13,Enfield,Knife or Sharp Implement,1,Jul,2013
Jul-13,Hackney,Other Methods Of Killing,1,Jul,2013
Jul-13,Hillingdon,"Physical Assault, no weapon",1,Jul,2013
Jul-13,Lambeth,Knife or Sharp Implement,1,Jul,2013
Jul-13,Newham,Other Methods Of Killing,1,Jul,2013
Jul-13,Newham,"Physical Assault, no weapon",1,Jul,2013
Jul-13,Southwark,Other Methods Of Killing,1,Jul,2013
Jul-13,Tower Hamlets,Knife or Sharp Implement,1,Jul,2013
Jul-13,Waltham Forest,Knife or Sharp Implement,1,Jul,2013
Jul-13,Waltham Forest,Not known/Not Recorded ,1,Jul,2013
Jul-13,Wandsworth,Knife or Sharp Implement,1,Jul,2013
Jul-14,Barnet,Knife or Sharp Implement,1,Jul,2014
Jul-14,Barnet,Other Methods Of Killing,1,Jul,2014
Jul-14,Barnet,Shooting,1,Jul,2014
Jul-14,Ealing,Knife or Sharp Implement,1,Jul,2014
Jul-14,Hackney,Blunt Implement,1,Jul,2014
Jul-14,Kensington & Chelsea,"Physical Assault, no weapon",1,Jul,2014
Jul-14,Lewisham,Knife or Sharp Implement,1,Jul,2014
Jul-15,Brent,Shooting,1,Jul,2015
Jul-15,Ealing,Blunt Implement,1,Jul,2015
Jul-15,Ealing,Knife or Sharp Implement,1,Jul,2015
Jul-15,Ealing,Shooting,1,Jul,2015
Jul-15,Enfield,Knife or Sharp Implement,1,Jul,2015
Jul-15,Islington,Other Methods Of Killing,1,Jul,2015
Jul-15,Lewisham,Blunt Implement,1,Jul,2015
Jul-16,Ealing,Knife or Sharp Implement,2,Jul,2016
Jul-16,Kensington & Chelsea,Knife or Sharp Implement,1,Jul,2016
Jul-16,Newham,Knife or Sharp Implement,1,Jul,2016
Jul-16,Tower Hamlets,Other Methods Of Killing,1,Jul,2016
Jul-17,Croydon,Blunt Implement,1,Jul,2017
Jul-17,Enfield,Knife or Sharp Implement,1,Jul,2017
Jul-17,Greenwich,Knife or Sharp Implement,1,Jul,2017
Jul-17,Havering,Knife or Sharp Implement,2,Jul,2017
Jul-17,Kensington & Chelsea,Other Methods Of Killing,1,Jul,2017
Jul-17,Kingston Upon Thames,Knife or Sharp Implement,1,Jul,2017
Jul-17,Merton,Blunt Implement,1,Jul,2017
Jul-17,Westminster,"Physical Assault, no weapon",1,Jul,2017
Jul-18,Greenwich,Knife or Sharp Implement,1,Jul,2018
Jul-18,Islington,Other Methods Of Killing,1,Jul,2018
Jul-18,Islington,"Physical Assault, no weapon",1,Jul,2018
Jul-18,Lambeth,Knife or Sharp Implement,1,Jul,2018
Jul-18,Southwark,Knife or Sharp Implement,2,Jul,2018
Jul-18,Waltham Forest,Other Methods Of Killing,1,Jul,2018
Jul-19,Brent,Shooting,2,Jul,2019
Jul-19,Bromley,Blunt Implement,1,Jul,2019
Jul-19,Camden,Knife or Sharp Implement,1,Jul,2019
Jul-19,Croydon,Knife or Sharp Implement,2,Jul,2019
Jul-19,Enfield,Shooting,1,Jul,2019
Jul-19,Greenwich,Knife or Sharp Implement,1,Jul,2019
Jul-19,Hillingdon,Other Methods Of Killing,1,Jul,2019
Jul-19,Islington,Other Methods Of Killing,1,Jul,2019
Jul-19,Kingston Upon Thames,Other Methods Of Killing,1,Jul,2019
Jul-19,Richmond Upon Thames,Knife or Sharp Implement,2,Jul,2019
Jul-19,Southwark,Not known/Not Recorded ,1,Jul,2019
Jul-19,Waltham Forest,Shooting,1,Jul,2019
Jul-19,Wandsworth,Knife or Sharp Implement,1,Jul,2019
Jul-20,Bexley,Not known/Not Recorded ,1,Jul,2020
Jul-20,Brent,Knife or Sharp Implement,2,Jul,2020
Jul-20,Bromley,Shooting,1,Jul,2020
Jul-20,Camden,Blunt Implement,1,Jul,2020
Jul-20,Ealing,Knife or Sharp Implement,1,Jul,2020
Jul-20,Ealing,Other Methods Of Killing,1,Jul,2020
Jul-20,Ealing,Shooting,1,Jul,2020
Jul-20,Enfield,Knife or Sharp Implement,1,Jul,2020
Jul-20,Enfield,Shooting,1,Jul,2020
Jul-20,Greenwich,Knife or Sharp Implement,1,Jul,2020
Jul-20,Hounslow,Blunt Implement,1,Jul,2020
Jul-20,Hounslow,Knife or Sharp Implement,1,Jul,2020
Jul-20,Islington,Shooting,1,Jul,2020
Jul-20,Lambeth,Knife or Sharp Implement,1,Jul,2020
Jul-20,Southwark,Knife or Sharp Implement,1,Jul,2020
Jul-20,Sutton,Other Methods Of Killing,1,Jul,2020
Jul-20,Tower Hamlets,Other Methods Of Killing,1,Jul,2020
Jul-20,Westminster,Knife or Sharp Implement,1,Jul,2020
Jul-21,Barking & Dagenham,Blunt Implement,1,Jul,2021
Jul-21,Brent,Knife or Sharp Implement,1,Jul,2021
Jul-21,Croydon,Knife or Sharp Implement,2,Jul,2021
Jul-21,Ealing,"Physical Assault, no weapon",1,Jul,2021
Jul-21,Enfield,Knife or Sharp Implement,1,Jul,2021
Jul-21,Greenwich,Knife or Sharp Implement,2,Jul,2021
Jul-21,Hillingdon,"Physical Assault, no weapon",1,Jul,2021
Jul-21,Lambeth,Blunt Implement,1,Jul,2021
Jul-21,Lambeth,Knife or Sharp Implement,2,Jul,2021
Jul-21,Southwark,Knife or Sharp Implement,1,Jul,2021
Jul-21,Tower Hamlets,Other Methods Of Killing,2,Jul,2021
Jul-21,Westminster,Knife or Sharp Implement,1,Jul,2021
Jul-22,Ealing,Knife or Sharp Implement,1,Jul,2022
Jul-22,Ealing,Other Methods Of Killing,1,Jul,2022
Jul-22,Ealing,Shooting,1,Jul,2022
Jul-22,Hillingdon,Knife or Sharp Implement,1,Jul,2022
Jul-22,Lewisham,Knife or Sharp Implement,1,Jul,2022
Jul-22,Newham,Not known/Not Recorded ,1,Jul,2022
Jul-22,Newham,"Physical Assault, no weapon",1,Jul,2022
Jul-22,Richmond Upon Thames,Knife or Sharp Implement,1,Jul,2022
Jul-22,Waltham Forest,Shooting,1,Jul,2022
Jul-22,Wandsworth,Knife or Sharp Implement,1,Jul,2022
Jul-22,Westminster,Shooting,1,Jul,2022
Jun-03,Barnet,Knife or Sharp Implement,1,Jun,2003
Jun-03,Brent,Knife or Sharp Implement,1,Jun,2003
Jun-03,Croydon,Other Methods Of Killing,1,Jun,2003
Jun-03,Ealing,Knife or Sharp Implement,1,Jun,2003
Jun-03,Enfield,Knife or Sharp Implement,1,Jun,2003
Jun-03,Greenwich,Other Methods Of Killing,1,Jun,2003
Jun-03,Hackney,Blunt Implement,1,Jun,2003
Jun-03,Hackney,Knife or Sharp Implement,1,Jun,2003
Jun-03,Hackney,Other Methods Of Killing,1,Jun,2003
Jun-03,Hackney,Shooting,1,Jun,2003
Jun-03,Haringey,Blunt Implement,1,Jun,2003
Jun-03,Hillingdon,"Physical Assault, no weapon",1,Jun,2003
Jun-03,Hounslow,"Physical Assault, no weapon",1,Jun,2003
Jun-03,Islington,Blunt Implement,1,Jun,2003
Jun-03,Lewisham,Shooting,1,Jun,2003
Jun-03,Newham,Blunt Implement,1,Jun,2003
Jun-03,Redbridge,Knife or Sharp Implement,1,Jun,2003
Jun-03,Redbridge,Other Methods Of Killing,1,Jun,2003
Jun-03,Waltham Forest,Knife or Sharp Implement,1,Jun,2003
Jun-03,Waltham Forest,"Physical Assault, no weapon",1,Jun,2003
Jun-03,Wandsworth,Not known/Not Recorded ,1,Jun,2003
Jun-03,Westminster,Shooting,1,Jun,2003
Jun-04,Barking & Dagenham,Other Methods Of Killing,1,Jun,2004
Jun-04,Brent,Other Methods Of Killing,1,Jun,2004
Jun-04,Ealing,Knife or Sharp Implement,1,Jun,2004
Jun-04,Ealing,Other Methods Of Killing,1,Jun,2004
Jun-04,Hackney,Knife or Sharp Implement,1,Jun,2004
Jun-04,Kensington & Chelsea,Shooting,1,Jun,2004
Jun-04,Kingston Upon Thames,Not known/Not Recorded ,1,Jun,2004
Jun-04,Kingston Upon Thames,Other Methods Of Killing,1,Jun,2004
Jun-04,Lambeth,Shooting,2,Jun,2004
Jun-04,Lewisham,Other Methods Of Killing,1,Jun,2004
Jun-04,Newham,Blunt Implement,1,Jun,2004
Jun-04,Newham,Knife or Sharp Implement,1,Jun,2004
Jun-04,Southwark,Knife or Sharp Implement,2,Jun,2004
Jun-04,Tower Hamlets,Blunt Implement,1,Jun,2004
Jun-04,Westminster,Knife or Sharp Implement,1,Jun,2004
Jun-05,Barking & Dagenham,Knife or Sharp Implement,2,Jun,2005
Jun-05,Bexley,Shooting,1,Jun,2005
Jun-05,Brent,Shooting,1,Jun,2005
Jun-05,Bromley,Other Methods Of Killing,1,Jun,2005
Jun-05,Ealing,Knife or Sharp Implement,2,Jun,2005
Jun-05,Hammersmith & Fulham,Knife or Sharp Implement,1,Jun,2005
Jun-05,Harrow,Other Methods Of Killing,1,Jun,2005
Jun-05,Lewisham,Knife or Sharp Implement,1,Jun,2005
Jun-05,Newham,Other Methods Of Killing,1,Jun,2005
Jun-05,Redbridge,Knife or Sharp Implement,1,Jun,2005
Jun-05,Redbridge,"Physical Assault, no weapon",1,Jun,2005
Jun-05,Westminster,Not known/Not Recorded ,1,Jun,2005
Jun-06,Barking & Dagenham,Blunt Implement,1,Jun,2006
Jun-06,Camden,Knife or Sharp Implement,1,Jun,2006
Jun-06,Camden,Not known/Not Recorded ,1,Jun,2006
Jun-06,Croydon,Knife or Sharp Implement,2,Jun,2006
Jun-06,Ealing,Blunt Implement,1,Jun,2006
Jun-06,Ealing,Knife or Sharp Implement,1,Jun,2006
Jun-06,Ealing,"Physical Assault, no weapon",1,Jun,2006
Jun-06,Lambeth,Knife or Sharp Implement,1,Jun,2006
Jun-07,Barnet,Knife or Sharp Implement,1,Jun,2007
Jun-07,Bromley,Knife or Sharp Implement,1,Jun,2007
Jun-07,Bromley,"Physical Assault, no weapon",1,Jun,2007
Jun-07,Camden,Other Methods Of Killing,1,Jun,2007
Jun-07,Croydon,Knife or Sharp Implement,1,Jun,2007
Jun-07,Ealing,Knife or Sharp Implement,1,Jun,2007
Jun-07,Ealing,Shooting,1,Jun,2007
Jun-07,Hackney,Other Methods Of Killing,1,Jun,2007
Jun-07,Hammersmith & Fulham,Knife or Sharp Implement,1,Jun,2007
Jun-07,Haringey,Knife or Sharp Implement,1,Jun,2007
Jun-07,Haringey,Shooting,1,Jun,2007
Jun-07,Havering,Other Methods Of Killing,1,Jun,2007
Jun-07,Havering,Shooting,1,Jun,2007
Jun-07,Islington,Knife or Sharp Implement,1,Jun,2007
Jun-07,Kingston Upon Thames,Knife or Sharp Implement,1,Jun,2007
Jun-07,Lambeth,Knife or Sharp Implement,3,Jun,2007
Jun-07,Lambeth,Other Methods Of Killing,2,Jun,2007
Jun-07,Lambeth,"Physical Assault, no weapon",1,Jun,2007
Jun-07,Newham,Knife or Sharp Implement,2,Jun,2007
Jun-07,Redbridge,Knife or Sharp Implement,1,Jun,2007
Jun-07,Tower Hamlets,Other Methods Of Killing,1,Jun,2007
Jun-07,Wandsworth,Knife or Sharp Implement,1,Jun,2007
Jun-08,Brent,Other Methods Of Killing,1,Jun,2008
Jun-08,Brent,"Physical Assault, no weapon",1,Jun,2008
Jun-08,Enfield,Knife or Sharp Implement,1,Jun,2008
Jun-08,Havering,"Physical Assault, no weapon",1,Jun,2008
Jun-08,Islington,Knife or Sharp Implement,3,Jun,2008
Jun-08,Lambeth,Knife or Sharp Implement,1,Jun,2008
Jun-08,Lewisham,Blunt Implement,1,Jun,2008
Jun-08,Lewisham,Knife or Sharp Implement,2,Jun,2008
Jun-08,Merton,"Physical Assault, no weapon",1,Jun,2008
Jun-08,Southwark,Knife or Sharp Implement,1,Jun,2008
Jun-08,Tower Hamlets,Other Methods Of Killing,1,Jun,2008
Jun-09,Ealing,Shooting,1,Jun,2009
Jun-09,Hackney,Other Methods Of Killing,1,Jun,2009
Jun-09,Hammersmith & Fulham,Knife or Sharp Implement,1,Jun,2009
Jun-09,Haringey,Other Methods Of Killing,1,Jun,2009
Jun-09,Lambeth,Knife or Sharp Implement,1,Jun,2009
Jun-09,Newham,"Physical Assault, no weapon",1,Jun,2009
